date,equity,exposure,units,held,base_allocation
2023-12-26,256.62600830575155,1.0,1.0,TQQQ,TQQQ
2023-12-27,257.97746699161416,1.0,1.0,TQQQ,TQQQ
2023-12-28,257.3267487275313,1.0,1.0,TQQQ,TQQQ
2023-12-29,253.77296579538688,1.0,1.0,TQQQ,TQQQ
2024-01-02,240.90911675602632,1.0,1.0,TQQQ,TQQQ
2024-01-03,225.5301238318991,1.0,1.0,SOXL,SOXL
2024-01-04,219.7737097875336,1.0,1.0,SOXL,SOXL
2024-01-05,222.7808155805386,1.0,1.0,SOXL,SOXL
2024-01-08,244.25983618737195,1.0,1.0,SOXL,SOXL
2024-01-09,244.17392030451694,1.0,1.0,SOXL,SOXL
2024-01-10,242.02602323314156,1.0,1.0,SOXL,SOXL
2024-01-11,244.5176004669635,1.0,1.0,SOXL,SOXL
2024-01-12,241.42461205315644,1.0,1.0,SOXL,SOXL
2024-01-16,250.7894931774326,1.0,1.0,SOXL,SOXL
2024-01-17,244.25983618737197,1.0,1.0,SOXL,SOXL
2024-01-18,267.9727362725417,1.0,1.0,SOXL,SOXL
2024-01-19,299.50396506649133,1.0,1.0,SOXL,SOXL
2024-01-22,302.9406669047979,1.0,1.0,SOXL,SOXL
2024-01-23,308.611081911176,1.0,1.0,SOXL,SOXL
2024-01-24,321.4985641255872,1.0,1.0,SOXL,SOXL
2024-01-25,318.9210211158308,1.0,1.0,SOXL,SOXL
2024-01-26,292.201081761762,1.0,1.0,SOXL,SOXL
2024-01-29,301.0505174819875,1.0,1.0,SOXL,SOXL
2024-01-30,288.07711938472124,1.0,1.0,SOXL,SOXL
2024-01-31,275.79109824337456,1.0,1.0,SOXL,SOXL
2024-02-01,278.7981707743266,1.0,1.0,SOXL,SOXL
2024-02-02,289.1081765030874,1.0,1.0,SOXL,SOXL
2024-02-05,301.56597951706465,1.0,1.0,SOXL,SOXL
2024-02-06,290.6546291324247,1.0,1.0,SOXL,SOXL
2024-02-07,303.79975920924204,1.0,1.0,SOXL,SOXL
2024-02-08,319.1788020264488,1.0,1.0,SOXL,SOXL
2024-02-09,337.8226151300931,1.0,1.0,SOXL,SOXL
2024-02-12,336.36201185950483,1.0,1.0,SOXL,SOXL
2024-02-13,316.5154096579433,1.0,1.0,SOXL,SOXL
2024-02-14,336.10426421093973,1.0,1.0,SOXL,SOXL
2024-02-15,336.0183815901377,1.0,1.0,SOXL,SOXL
2024-02-16,329.3169759894995,1.0,1.0,SOXL,SOXL
2024-02-20,312.90694257803256,1.0,1.0,SOXL,SOXL
2024-02-21,310.50126459603916,1.0,1.0,SOXL,SOXL
2024-02-22,355.8649837916993,1.0,1.0,SOXL,SOXL
2024-02-23,345.12546517276934,1.0,1.0,SOXL,SOXL
2024-02-26,354.0607835137969,1.0,1.0,SOXL,SOXL
2024-02-27,353.2016912093527,1.0,1.0,SOXL,SOXL
2024-02-28,341.9466440312397,1.0,1.0,SOXL,SOXL
2024-02-29,368.0651056812174,1.0,1.0,SOXL,SOXL
2024-03-01,415.23319146504474,1.0,1.0,SOXL,SOXL
2024-03-04,427.605078596167,1.0,1.0,SOXL,SOXL
2024-03-05,402.4316251334885,1.0,1.0,SOXL,SOXL
2024-03-06,431.4713265866956,1.0,1.0,SOXL,SOXL
2024-03-07,475.28859315301844,1.0,1.0,SOXL,SOXL
2024-03-08,420.55990967794975,1.0,1.0,SOXL,SOXL
2024-03-11,401.8302139535034,1.0,1.0,SOXL,SOXL
2024-03-12,425.9726768219217,1.0,1.0,SOXL,SOXL
2024-03-13,395.9019847744544,1.0,1.0,SOXL,SOXL
2024-03-14,373.9934013843725,1.0,1.0,SOXL,SOXL
2024-03-15,367.2059468526673,1.0,1.0,SOXL,SOXL
2024-03-18,365.48766245761993,1.0,1.0,SOXL,SOXL
2024-03-19,356.15805574053223,1.0,1.0,SOXL,SOXL
2024-03-20,373.18357018039603,1.0,1.0,SOXL,SOXL
2024-03-21,398.205714564055,1.0,1.0,SOXL,SOXL
2024-03-22,399.2375367096397,1.0,1.0,SOXL,SOXL
2024-03-25,394.59422063732285,1.0,1.0,SOXL,SOXL
2024-03-26,387.1993677560956,1.0,1.0,SOXL,SOXL
2024-03-27,399.8394468204196,1.0,1.0,SOXL,SOXL
2024-03-28,400.0973940413025,1.0,1.0,SOXL,SOXL
2024-04-01,412.65152396071846,1.0,1.0,SOXL,SOXL
2024-04-02,394.5082714924149,1.0,1.0,SOXL,SOXL
2024-04-03,397.1738591564173,1.0,1.0,SOXL,SOXL
2024-04-04,364.32681680851425,1.0,1.0,SOXL,SOXL
2024-04-05,375.0752163955906,1.0,1.0,SOXL,SOXL
2024-04-08,378.3427141703728,1.0,1.0,SOXL,SOXL
2024-04-09,390.29490071695585,1.0,1.0,SOXL,SOXL
2024-04-10,370.5178827302347,1.0,1.0,SOXL,SOXL
2024-04-11,393.820345712621,1.0,1.0,SOXL,SOXL
2024-04-12,356.931930665234,1.0,1.0,SOXL,SOXL
2024-04-15,342.05617597171266,1.0,1.0,SOXL,SOXL
2024-04-16,348.591238045383,1.0,1.0,SOXL,SOXL
2024-04-17,318.66776384441835,1.0,1.0,SOXL,SOXL
2024-04-18,300.18054848621784,1.0,1.0,SOXL,SOXL
2024-04-19,264.7539341433265,1.0,1.0,SOXL,SOXL
2024-04-22,275.7602476892328,1.0,1.0,SOXL,SOXL
2024-04-23,293.30159004675653,1.0,1.0,SOXL,SOXL
2024-04-24,305.1677941863786,1.0,1.0,SOXL,SOXL
2024-04-25,321.6772811362646,1.0,1.0,SOXL,SOXL
2024-04-26,342.2282073097405,1.0,1.0,SOXL,SOXL
2024-04-29,349.1930816320569,1.0,1.0,SOXL,SOXL
2024-04-30,328.29829235484294,1.0,1.0,SOXL,SOXL
2024-05-01,295.53723241390094,1.0,1.0,SOXL,SOXL
2024-05-02,313.42257092337456,1.0,1.0,SOXL,SOXL
2024-05-03,335.09126838734335,1.0,1.0,SOXL,SOXL
2024-05-06,355.1262668570004,1.0,1.0,SOXL,SOXL
2024-05-07,347.04342167187343,1.0,1.0,SOXL,SOXL
2024-05-08,347.47343349283733,1.0,1.0,SOXL,SOXL
2024-05-09,343.6040256072753,1.0,1.0,SOXL,SOXL
2024-05-10,352.80457555878905,1.0,1.0,SOXL,SOXL
2024-05-13,354.86828637406455,1.0,1.0,SOXL,SOXL
2024-05-14,371.54977139992553,1.0,1.0,SOXL,SOXL
2024-05-15,404.1388000028396,1.0,1.0,SOXL,SOXL
2024-05-16,397.77580252925014,1.0,1.0,SOXL,SOXL
2024-05-17,390.3809496480229,1.0,1.0,SOXL,SOXL
2024-05-20,414.88716632786304,1.0,1.0,SOXL,SOXL
2024-05-21,412.5655415537576,1.0,1.0,SOXL,SOXL
2024-05-22,424.6037105073017,1.0,1.0,SOXL,SOXL
2024-05-23,419.70248047615485,1.0,1.0,SOXL,SOXL
2024-05-24,442.31701767874733,1.0,1.0,SOXL,SOXL
2024-05-28,464.67364092250983,1.0,1.0,SOXL,SOXL
2024-05-29,438.36156086211827,1.0,1.0,SOXL,SOXL
2024-05-30,429.9348525732533,1.0,1.0,SOXL,SOXL
2024-05-31,417.8107344748012,1.0,1.0,SOXL,SOXL
2024-06-03,417.8107344748012,1.0,1.0,SOXL,SOXL
2024-06-04,420.920818056672,1.0,1.0,TQQQ,TQQQ
2024-06-05,446.3308933324852,1.0,1.0,TQQQ,TQQQ
2024-06-06,445.80153823038273,1.0,1.0,TQQQ,TQQQ
2024-06-07,444.1472713370971,1.0,1.0,TQQQ,TQQQ
