strategy,top_n,date,equity,daily_return,holdings
Nasdaq-100 Top1 PIT membership,1,2023-01-19,6.1043808835622695,-0.01279263281830545,NFLX
Nasdaq-100 Top1 PIT membership,1,2023-01-20,6.373483249779667,0.04408348223192138,NFLX
Nasdaq-100 Top1 PIT membership,1,2023-01-23,6.466779587465574,0.01463820238158342,NFLX
Nasdaq-100 Top1 PIT membership,1,2023-01-24,6.765970793216144,0.04626587340791488,NFLX
Nasdaq-100 Top1 PIT membership,1,2023-01-25,6.8235005388993875,0.008502807275036606,NFLX
Nasdaq-100 Top1 PIT membership,1,2023-01-26,6.978678964244198,0.022741762012059574,NFLX
Nasdaq-100 Top1 PIT membership,1,2023-01-27,6.873271291125277,-0.015104244465032113,NFLX
Nasdaq-100 Top1 PIT membership,1,2023-01-30,6.783192466822271,-0.0131056698459312,NFLX
Nasdaq-100 Top1 PIT membership,1,2023-01-31,6.623093563304282,-0.02360229409692549,NFLX
Nasdaq-100 Top1 PIT membership,1,2023-02-01,6.696519572099821,0.011086361394977207,NFLX
Nasdaq-100 Top1 PIT membership,1,2023-02-02,6.728592013246447,0.004789419459065192,PDD
Nasdaq-100 Top1 PIT membership,1,2023-02-03,6.444524745106095,-0.04221793617165592,PDD
Nasdaq-100 Top1 PIT membership,1,2023-02-06,6.029551520818695,-0.06439159452409993,PDD
Nasdaq-100 Top1 PIT membership,1,2023-02-07,6.276964641844116,0.04103342017580558,PDD
Nasdaq-100 Top1 PIT membership,1,2023-02-08,6.118567950518745,-0.025234599900316623,PDD
Nasdaq-100 Top1 PIT membership,1,2023-02-09,6.283509864746194,0.02695760111865142,PDD
Nasdaq-100 Top1 PIT membership,1,2023-02-10,5.9568983980580885,-0.051979144414265765,PDD
Nasdaq-100 Top1 PIT membership,1,2023-02-13,6.217401964887665,0.04373141011008319,PDD
Nasdaq-100 Top1 PIT membership,1,2023-02-14,6.151294564397634,-0.010632640589006148,PDD
Nasdaq-100 Top1 PIT membership,1,2023-02-15,6.1382036192249805,-0.00212816099694213,PDD
Nasdaq-100 Top1 PIT membership,1,2023-02-16,6.16700319923632,0.004691858041518726,PDD
Nasdaq-100 Top1 PIT membership,1,2023-02-17,6.220674826022954,0.008703032097223451,PDD
Nasdaq-100 Top1 PIT membership,1,2023-02-21,5.643377377174137,-0.09280302619802727,PDD
Nasdaq-100 Top1 PIT membership,1,2023-02-22,5.579887666350138,-0.011250303954649099,PDD
Nasdaq-100 Top1 PIT membership,1,2023-02-23,5.666940579116416,0.015601194499175186,PDD
Nasdaq-100 Top1 PIT membership,1,2023-02-24,5.460762811805732,-0.03638255323701156,PDD
Nasdaq-100 Top1 PIT membership,1,2023-02-27,5.6126142802290255,0.027807739258515873,PDD
Nasdaq-100 Top1 PIT membership,1,2023-02-28,5.628322915067711,0.002798808906933292,PDD
Nasdaq-100 Top1 PIT membership,1,2023-03-01,6.064241651631358,0.07745091089152667,PDD
Nasdaq-100 Top1 PIT membership,1,2023-03-02,5.934644040948829,-0.021370786015373455,PDD
Nasdaq-100 Top1 PIT membership,1,2023-03-03,6.212820258919363,0.04687327766436011,PDD
Nasdaq-100 Top1 PIT membership,1,2023-03-06,6.1931845902131295,-0.0031605080926079276,PDD
Nasdaq-100 Top1 PIT membership,1,2023-03-07,6.1382036192249805,-0.008877657396976879,PDD
Nasdaq-100 Top1 PIT membership,1,2023-03-08,6.021696953715105,-0.018980580107341938,PDD
Nasdaq-100 Top1 PIT membership,1,2023-03-09,5.895372204167863,-0.02097826418669324,PDD
Nasdaq-100 Top1 PIT membership,1,2023-03-10,5.575960632482591,-0.05418005184803387,PDD
Nasdaq-100 Top1 PIT membership,1,2023-03-13,5.5458522076382355,-0.005399683898225538,PDD
Nasdaq-100 Top1 PIT membership,1,2023-03-14,6.02627865968341,0.08662806617592311,PDD
Nasdaq-100 Top1 PIT membership,1,2023-03-15,5.9673706548277154,-0.009775187670924779,PDD
Nasdaq-100 Top1 PIT membership,1,2023-03-16,5.905844960305987,-0.010310352428326786,PDD
Nasdaq-100 Top1 PIT membership,1,2023-03-17,6.204966191184268,0.050648337856600945,PDD
Nasdaq-100 Top1 PIT membership,1,2023-03-20,5.231676514653527,-0.1568565640073183,PDD
Nasdaq-100 Top1 PIT membership,1,2023-03-21,5.282075280304873,0.009633387215395084,PDD
Nasdaq-100 Top1 PIT membership,1,2023-03-22,5.282075280304873,0.0,PDD
Nasdaq-100 Top1 PIT membership,1,2023-03-23,5.139387223818188,-0.02701363553426095,PDD
Nasdaq-100 Top1 PIT membership,1,2023-03-24,4.924700716671652,-0.04177278297918152,PDD
Nasdaq-100 Top1 PIT membership,1,2023-03-27,4.728995705499091,-0.03973947300188996,PDD
Nasdaq-100 Top1 PIT membership,1,2023-03-28,4.76957688648157,0.008581352893868965,PDD
Nasdaq-100 Top1 PIT membership,1,2023-03-29,4.719832293562483,-0.010429560965895757,PDD
Nasdaq-100 Top1 PIT membership,1,2023-03-30,4.872338434086533,0.03231177106272565,PDD
Nasdaq-100 Top1 PIT membership,1,2023-03-31,4.9103009266659825,0.007791431792559145,PDD
Nasdaq-100 Top1 PIT membership,1,2023-04-03,4.848120560043498,-0.012663249676777899,PDD
Nasdaq-100 Top1 PIT membership,1,2023-04-04,4.9286611374922735,0.01661274228874654,NVDA
Nasdaq-100 Top1 PIT membership,1,2023-04-05,4.728279040350773,-0.04065649707933783,NVDA
Nasdaq-100 Top1 PIT membership,1,2023-04-06,4.685100789022875,-0.009131916910871452,NVDA
Nasdaq-100 Top1 PIT membership,1,2023-04-10,4.727221415200567,0.008990335122860182,NVDA
Nasdaq-100 Top1 PIT membership,1,2023-04-11,4.886011974283102,0.03359067518435621,NVDA
Nasdaq-100 Top1 PIT membership,1,2023-04-12,4.823624004596666,-0.01276868947820986,NVDA
Nasdaq-100 Top1 PIT membership,1,2023-04-13,4.711535969229991,-0.02323730772959509,NVDA
