date,same_close_equity,next_day_equity,same_exposure,next_exposure,allocation
2024-07-08,258996597.4667992,883.281377887639,0.75,1.5,TQQQ
2024-07-09,259422091.55562893,886.1835859377871,0.75,1.5,TQQQ
2024-07-10,265517825.3018779,927.8295317998382,0.75,1.5,TQQQ
2024-07-11,252434198.88822058,882.1099084343413,0.75,0.75,TQQQ
2024-07-12,258590008.21732086,903.6208622890383,1.5,1.5,TQQQ
2024-07-15,261476041.87178472,913.7058622371034,1.5,1.5,TQQQ
2024-07-16,261765748.4194279,914.7182172085767,1.5,1.5,TQQQ
2024-07-17,227233858.03760242,794.0494536379755,1.5,1.5,TQQQ
2024-07-18,222131465.83602,776.2195766341588,1.5,1.5,TQQQ
2024-07-19,213098989.16665903,744.6563526223702,1.5,1.5,TQQQ
2024-07-22,231691993.43457812,809.6280298536154,2.0,2.0,TQQQ
2024-07-23,226693207.49318123,792.1601961430134,2.0,2.0,TQQQ
2024-07-24,221804585.46611443,621.3314436341062,0.2,2.0,TQQQ
2024-07-25,220327026.33203632,617.1924221260421,0.2,0.2,TQQQ
2024-07-26,221587629.41336575,620.7236941722265,0.2,0.2,TQQQ
2024-07-29,221846398.38638785,621.4485723312495,0.2,0.2,TQQQ
2024-07-30,220036654.09530354,616.3790151323981,0.2,0.2,TQQQ
2024-07-31,258514141.3773248,627.157544652025,2.0,0.2,TQQQ
2024-08-01,254788626.42312577,536.7762293865845,0.2,2.0,TQQQ
2024-08-02,251072959.79914936,528.9482444875906,0.2,0.2,TQQQ
2024-08-05,246696074.17261454,519.7272357006204,0.2,0.2,TQQQ
2024-08-06,247916730.35354546,522.3248859416252,0.2,0.2,SOXL
2024-08-07,246319884.73938102,518.9605619522947,0.2,0.2,TQQQ
2024-08-08,250830429.96150884,528.4636318553331,0.2,0.2,TQQQ
2024-08-09,251513017.97622648,529.9017466062984,0.2,0.2,TQQQ
2024-08-12,251854921.11143336,530.6220873265287,0.2,0.2,TQQQ
2024-08-13,255519037.53257445,538.3418535118122,0.2,0.2,TQQQ
2024-08-14,255607481.8563604,538.5281929785671,0.2,0.2,TQQQ
2024-08-15,270029814.9843799,546.6310679456171,0.75,0.2,TQQQ
2024-08-16,270562298.637855,547.7089937597704,0.75,0.75,TQQQ
2024-08-19,278426095.51523596,563.6279606539958,0.75,0.75,TQQQ
2024-08-20,277137446.59086406,561.0193022813005,0.75,0.75,TQQQ
2024-08-21,279982740.23840964,566.7791325625111,0.75,0.75,TQQQ
2024-08-22,269897054.72037417,546.3623165675579,0.75,0.75,TQQQ
2024-08-23,276261640.27754545,559.246376056874,0.75,0.75,TQQQ
2024-08-26,274640024.5131614,546.9362693405013,0.2,0.75,TQQQ
2024-08-27,276385114.1943363,547.8630124754621,0.75,0.2,TQQQ
2024-08-28,274511592.040118,533.9363377202711,0.2,0.75,TQQQ
2024-08-29,274223485.58220154,533.3759588092378,0.2,0.2,TQQQ
2024-08-30,276091608.15694386,537.0095340566711,0.2,0.2,TQQQ
2024-09-03,271053463.5440134,527.2101355557143,0.2,0.2,TQQQ
2024-09-04,270592651.1174667,526.3138364319586,0.2,0.2,TQQQ
2024-09-05,270767736.6637534,526.6543850210995,0.2,0.2,TQQQ
2024-09-06,266375729.4125592,518.1117502656216,0.2,0.2,TQQQ
2024-09-09,268357534.09794122,521.9664418942181,0.2,0.2,TQQQ
2024-09-10,269801247.0144107,524.7745228995059,0.2,0.2,TQQQ
